NAME,RAJ2000,DEJ2000,LON,LAT
4FGL J0034.6+6438,8.6619,64.6393,121.134,1.82617
4FGL J0057.9+6326,14.4955,63.4385,123.663,0.576046
4FGL J0204.7+6656,31.1953,66.9372,130.039,5.0829
4FGL J0235.3+5650,38.8479,56.8478,136.819,-3.19475
4FGL J0616.5+2235,94.1441,22.5943,188.962,2.90525
4FGL J0722.4-2650,110.614,-26.8441,240.256,-5.66801
4FGL J0725.7-0549,111.449,-5.8193,222.056,4.93413
4FGL J0736.9-3231,114.24,-32.5303,246.786,-5.57481
4FGL J0744.9-4028,116.248,-40.4675,254.569,-7.99898
4FGL J0752.0-2931,118.013,-29.5264,245.783,-1.2767
4FGL J0754.9-3953,118.741,-39.8951,255.023,-6.0623
4FGL J0826.1-5053,126.526,-50.8991,267.307,-7.38569
4FGL J0828.4-4444,127.105,-44.7362,262.472,-3.51598
4FGL J0848.8-4328,132.211,-43.4731,263.694,0.16362
4FGL J0853.6-4306,133.419,-43.112,263.976,1.07176
4FGL J0857.7-4256c,134.446,-42.9454,264.334,1.75172
4FGL J0859.2-4729,134.804,-47.4883,267.937,-1.0269
4FGL J0859.3-4342,134.827,-43.7125,265.096,1.46031
4FGL J0900.5-4434c,135.141,-44.5825,265.9,1.05828
4FGL J0901.1-4456c,135.282,-44.9491,266.242,0.892157
4FGL J0917.9-4755,139.478,-47.9289,270.392,0.986786
4FGL J0928.4-5256,142.109,-52.9371,275.101,-1.40342
4FGL J1020.4-5314,155.116,-53.2458,281.41,3.19784
4FGL J1026.2-5731,156.568,-57.5316,284.405,0.022287
4FGL J1037.8-5810c,159.46,-58.1829,286.061,0.243893
4FGL J1046.7-6010,161.676,-60.1734,288.006,-0.967211
4FGL J1048.5-5923,162.137,-59.3923,287.855,-0.166672
4FGL J1058.4-6625,164.611,-66.4293,291.962,-5.99466
4FGL J1112.2-6055,168.064,-60.918,291.17,-0.331574
4FGL J1115.1-6118,168.776,-61.3085,291.633,-0.568049
4FGL J1127.9-6158,171.995,-61.9807,293.299,-0.679898
4FGL J1208.0-6900,182.02,-69.0034,299.044,-6.4596
4FGL J1216.8-5955,184.212,-59.9252,298.606,2.65569
4FGL J1220.1-5558,185.034,-55.9688,298.532,6.6353
4FGL J1244.3-6233,191.08,-62.554,302.112,0.306412
4FGL J1257.0-6339,194.26,-63.6559,303.554,-0.790917
4FGL J1309.1-6223,197.282,-62.3958,304.98,0.405592
4FGL J1312.3-6257,198.095,-62.961,305.309,-0.185973
4FGL J1312.6-6231c,198.156,-62.5281,305.372,0.243221
4FGL J1317.5-6316,199.38,-63.2786,305.859,-0.555196
4FGL J1325.3-5413,201.346,-54.2328,307.933,8.30898
4FGL J1351.6-6142,207.905,-61.7029,310.001,0.340083
4FGL J1403.5-6236,210.879,-62.6042,311.116,-0.883379
4FGL J1404.8-5237,211.203,-52.6256,314.074,8.65165
4FGL J1412.1-6631,213.032,-66.5218,310.858,-4.89974
4FGL J1415.4-6458,213.862,-64.9831,311.666,-3.54575
4FGL J1427.8-6051,216.956,-60.8548,314.401,-0.147653
4FGL J1443.7-7037,220.946,-70.621,312.053,-9.76541
4FGL J1444.9-5939,221.247,-59.6581,316.829,0.114394
4FGL J1510.1-5750,227.547,-57.8467,320.562,0.195319
4FGL J1526.3-4501,231.598,-45.0303,329.587,9.67248
4FGL J1534.0-5232,233.501,-52.5479,326.294,2.78996
4FGL J1534.7-5842,233.684,-58.7156,322.794,-2.2901
4FGL J1536.8-4327,234.219,-43.4604,332.063,9.85892
4FGL J1538.0-4638,234.524,-46.6422,330.319,7.17651
4FGL J1547.4-4802,236.85,-48.0393,330.722,5.10896
4FGL J1548.1-4416,237.033,-44.283,333.178,7.96766
4FGL J1603.3-6010,240.844,-60.1747,324.731,-5.69976
4FGL J1610.3-5154c,242.584,-51.9105,331.009,-0.22678
4FGL J1611.9-5125c,242.983,-51.4209,331.524,-0.0366283
4FGL J1613.0-5102,243.271,-51.0458,331.912,0.113509
4FGL J1616.6-5341,244.151,-53.6885,330.476,-2.1695
4FGL J1616.6-5009,244.158,-50.1507,332.937,0.372657
4FGL J1618.0-5119,244.517,-51.3287,332.28,-0.631299
