NAME,RAJ2000,DEJ2000,LON,LAT,RF_class,PDF_class,Gauss_PDF
4FGL J0034.6+6438,8.6619,64.6393,121.134,1.82617,msp+,Gauss,0.6621792519953146
4FGL J0057.9+6326,14.4955,63.4385,123.663,0.576046,bll+,bll+,6.562026188677542e-17
4FGL J0204.7+6656,31.1953,66.9372,130.039,5.0829,msp+,Gauss,0.8799811416917733
4FGL J0235.3+5650,38.8479,56.8478,136.819,-3.19475,msp+,Gauss,0.9113400609032746
4FGL J0616.5+2235,94.1441,22.5943,188.962,2.90525,psr+,psr+,6.742408492493969e-06
4FGL J0722.4-2650,110.614,-26.8441,240.256,-5.66801,msp+,Gauss,0.590410127256509
4FGL J0725.7-0549,111.449,-5.8193,222.056,4.93413,bll+,bll+,0.0001791012747821
4FGL J0736.9-3231,114.24,-32.5303,246.786,-5.57481,psr+,Gauss,0.934946275169057
4FGL J0744.9-4028,116.248,-40.4675,254.569,-7.99898,msp+,msp+,0.3867397297436684
4FGL J0752.0-2931,118.013,-29.5264,245.783,-1.2767,msp+,msp+,0.2214025263762608
4FGL J0754.9-3953,118.741,-39.8951,255.023,-6.0623,msp+,msp+,0.0027274765546606
4FGL J0826.1-5053,126.526,-50.8991,267.307,-7.38569,msp+,Gauss,0.6773388061230166
4FGL J0828.4-4444,127.105,-44.7362,262.472,-3.51598,psr+,msp+,0.2845184326272292
4FGL J0848.8-4328,132.211,-43.4731,263.694,0.16362,psr+,Gauss,0.93939486767984
4FGL J0853.6-4306,133.419,-43.112,263.976,1.07176,psr+,Gauss,0.883737292761578
4FGL J0857.7-4256c,134.446,-42.9454,264.334,1.75172,psr+,Gauss,0.7554445779729992
4FGL J0859.2-4729,134.804,-47.4883,267.937,-1.0269,psr+,Gauss,0.735898639261538
4FGL J0859.3-4342,134.827,-43.7125,265.096,1.46031,msp+,Gauss,0.8924379210298009
4FGL J0900.5-4434c,135.141,-44.5825,265.9,1.05828,msp+,Gauss,0.9451872144218382
4FGL J0901.1-4456c,135.282,-44.9491,266.242,0.892157,msp+,Gauss,0.8646561822410322
4FGL J0917.9-4755,139.478,-47.9289,270.392,0.986786,psr+,Gauss,0.937527665873883
4FGL J0928.4-5256,142.109,-52.9371,275.101,-1.40342,bll+,bll+,0.001093358725456
4FGL J1020.4-5314,155.116,-53.2458,281.41,3.19784,msp+,Gauss,0.5698381552564481
4FGL J1026.2-5731,156.568,-57.5316,284.405,0.022287,psr+,psr+,0.175674345185757
4FGL J1037.8-5810c,159.46,-58.1829,286.061,0.243893,psr+,Gauss,0.9434575784274404
4FGL J1046.7-6010,161.676,-60.1734,288.006,-0.967211,psr+,Gauss,0.8281671326440996
4FGL J1048.5-5923,162.137,-59.3923,287.855,-0.166672,psr+,Gauss,0.5405801471300904
4FGL J1058.4-6625,164.611,-66.4293,291.962,-5.99466,bll+,bll+,0.000502844270932
4FGL J1112.2-6055,168.064,-60.918,291.17,-0.331574,psr+,Gauss,0.8231875930320692
4FGL J1115.1-6118,168.776,-61.3085,291.633,-0.568049,psr+,fsrq+,0.0100281485784459
4FGL J1127.9-6158,171.995,-61.9807,293.299,-0.679898,psr+,Gauss,0.8057894611631616
4FGL J1208.0-6900,182.02,-69.0034,299.044,-6.4596,msp+,Gauss,0.8228700908253729
4FGL J1216.8-5955,184.212,-59.9252,298.606,2.65569,msp+,Gauss,0.8715355248467949
4FGL J1220.1-5558,185.034,-55.9688,298.532,6.6353,fsrq+,Gauss,0.4844173683810434
4FGL J1244.3-6233,191.08,-62.554,302.112,0.306412,psr+,Gauss,0.9090281370342496
4FGL J1257.0-6339,194.26,-63.6559,303.554,-0.790917,psr+,Gauss,0.9057438335523116
4FGL J1309.1-6223,197.282,-62.3958,304.98,0.405592,psr+,Gauss,0.4726606126628775
4FGL J1312.3-6257,198.095,-62.961,305.309,-0.185973,psr+,fsrq+,0.1517797008639818
4FGL J1312.6-6231c,198.156,-62.5281,305.372,0.243221,psr+,Gauss,0.466398083911671
4FGL J1317.5-6316,199.38,-63.2786,305.859,-0.555196,psr+,psr+,0.0986672068008258
4FGL J1325.3-5413,201.346,-54.2328,307.933,8.30898,msp+,Gauss,0.8531482624271476
4FGL J1351.6-6142,207.905,-61.7029,310.001,0.340083,psr+,Gauss,0.5548010137038095
4FGL J1403.5-6236,210.879,-62.6042,311.116,-0.883379,psr+,msp+,0.0143124542500266
4FGL J1404.8-5237,211.203,-52.6256,314.074,8.65165,msp+,Gauss,0.758637533674467
4FGL J1412.1-6631,213.032,-66.5218,310.858,-4.89974,msp+,msp+,0.237625930671291
4FGL J1415.4-6458,213.862,-64.9831,311.666,-3.54575,msp+,msp+,0.0923751429694516
4FGL J1427.8-6051,216.956,-60.8548,314.401,-0.147653,psr+,fsrq+,0.1728672850695374
4FGL J1443.7-7037,220.946,-70.621,312.053,-9.76541,bll+,fsrq+,0.2174959913936026
4FGL J1444.9-5939,221.247,-59.6581,316.829,0.114394,psr+,Gauss,0.8406331272440605
4FGL J1510.1-5750,227.547,-57.8467,320.562,0.195319,psr+,Gauss,0.619861640473798
4FGL J1526.3-4501,231.598,-45.0303,329.587,9.67248,na,na,0.0
4FGL J1534.0-5232,233.501,-52.5479,326.294,2.78996,msp+,Gauss,0.8315291186299582
4FGL J1534.7-5842,233.684,-58.7156,322.794,-2.2901,msp+,msp+,0.0006028642807062
4FGL J1536.8-4327,234.219,-43.4604,332.063,9.85892,fsrq+,fsrq+,0.1501382356972237
4FGL J1538.0-4638,234.524,-46.6422,330.319,7.17651,psr+,Gauss,0.9303152792733704
4FGL J1547.4-4802,236.85,-48.0393,330.722,5.10896,msp+,Gauss,0.8898210370388273
4FGL J1548.1-4416,237.033,-44.283,333.178,7.96766,msp+,Gauss,0.8462374810390235
4FGL J1603.3-6010,240.844,-60.1747,324.731,-5.69976,msp+,msp+,0.3686209296827487
4FGL J1610.3-5154c,242.584,-51.9105,331.009,-0.22678,psr+,Gauss,0.8292541205698598
4FGL J1611.9-5125c,242.983,-51.4209,331.524,-0.0366283,psr+,Gauss,0.7380379085026291
4FGL J1613.0-5102,243.271,-51.0458,331.912,0.113509,psr+,Gauss,0.5825752059288458
4FGL J1616.6-5341,244.151,-53.6885,330.476,-2.1695,msp+,psr+,0.0035563827040846
4FGL J1616.6-5009,244.158,-50.1507,332.937,0.372657,psr+,Gauss,0.7497530652519699
4FGL J1618.0-5119,244.517,-51.3287,332.28,-0.631299,psr+,Gauss,0.852163216849535
4FGL J1620.8-4958c,245.212,-49.9699,333.547,0.0283791,psr+,Gauss,0.7460155060451938
4FGL J1622.7-4934c,245.686,-49.574,334.043,0.0919013,psr+,Gauss,0.6854289782440797
4FGL J1634.0-4742c,248.524,-47.7025,336.692,0.0317374,psr+,psr+,0.0712646820235153
4FGL J1636.9-4710c,249.244,-47.1687,337.414,0.0324251,psr+,Gauss,0.5657267566865585
4FGL J1639.8-4642c,249.953,-46.7141,338.076,-0.0242064,psr+,fsrq+,0.3028903625295695
4FGL J1640.3-4917,250.078,-49.2887,336.206,-1.79565,psr+,Gauss,0.8878511534476224
4FGL J1643.3-3148,250.846,-31.8081,349.823,9.24231,msp+,Gauss,0.5605712777689456
4FGL J1649.3-4441,252.333,-44.6991,340.687,0.0338591,psr+,Gauss,0.6828107174401898
4FGL J1651.7-4359,252.938,-43.9944,341.505,0.15195,psr+,Gauss,0.470126267135835
4FGL J1653.2-4349,253.301,-43.8243,341.803,0.0577076,psr+,Gauss,0.5389695192382854
4FGL J1656.5-2733,254.144,-27.5606,354.998,9.6776,msp+,msp+,0.0055994321160086
4FGL J1703.6-2850,255.915,-28.8346,354.927,7.66433,msp+,Gauss,0.8204879286370531
4FGL J1704.8-4030,256.205,-40.5029,345.743,0.425822,psr+,Gauss,0.7837975861938895
4FGL J1711.0-3002,257.77,-30.0487,354.907,5.64339,msp+,msp+,0.2789729495317173
4FGL J1714.8-3849,258.724,-38.819,348.25,-0.132136,psr+,Gauss,0.8243784335489696
4FGL J1714.9-3324,258.738,-33.4135,352.651,3.00926,psr+,Gauss,0.8162343180351539
4FGL J1721.3-5257,260.347,-52.9526,337.244,-9.12776,msp+,msp+,0.28497752241886
4FGL J1721.7-3917,260.432,-39.2975,348.622,-1.49166,msp+,Gauss,0.9139686301779936
4FGL J1725.1-1924,261.299,-19.4033,5.58277,9.03229,msp+,Gauss,0.6371189013281149
4FGL J1727.6-2304,261.908,-23.0735,2.7944,6.55002,msp+,Gauss,0.486667066029265
4FGL J1729.1-3503,262.279,-35.0577,352.959,-0.333935,psr+,msp+,0.1061348711096637
4FGL J1729.9-4148,262.48,-41.8042,347.41,-4.18191,bll+,Gauss,0.5767306357571356
4FGL J1730.8-3806,262.722,-38.1131,350.604,-2.31349,msp+,Gauss,0.6523865548433959
4FGL J1737.3-3332,264.343,-33.5337,355.166,-0.93404,psr+,Gauss,0.926052078778524
4FGL J1739.3-2531,264.837,-25.5262,2.16695,2.97997,msp+,Gauss,0.9251281421540531
4FGL J1740.7-2640,265.186,-26.677,1.35642,2.1042,psr+,Gauss,0.4798979326824728
4FGL J1742.8-2246,265.724,-22.7718,4.93957,3.74289,msp+,Gauss,0.8179033703910471
4FGL J1743.7-4321,265.944,-43.3542,347.451,-7.16615,msp+,msp+,0.3895119131900355
4FGL J1744.0-1311,266.019,-13.1909,13.338,8.45204,msp+,msp+,0.3529175613469279
4FGL J1744.7-1557,266.177,-15.9625,11.0117,6.90591,msp+,Gauss,0.8687285066032497
4FGL J1747.0-3505,266.771,-35.0989,354.889,-3.46264,msp+,Gauss,0.8756898116549862
4FGL J1748.3-2906,267.095,-29.1061,0.167802,-0.604398,psr+,Gauss,0.6177929750356748
4FGL J1748.8-3915,267.205,-39.2524,351.487,-5.88632,msp+,msp+,0.1973024826811166
4FGL J1752.8-4449,268.218,-44.8251,346.991,-9.3164,msp+,msp+,0.301319331462788
4FGL J1754.6-2933,268.663,-29.5518,0.482084,-2.00713,psr+,msp+,0.3634668681991584
4FGL J1757.4-3125,269.354,-31.4187,359.164,-3.4585,psr+,Gauss,0.8175495323370855
4FGL J1758.7-4109,269.697,-41.1528,350.772,-8.48032,bll+,fsrq+,0.4036978351132433
4FGL J1800.9-2407,270.235,-24.1333,5.8769,-0.511363,psr+,Gauss,0.5634826568832896
4FGL J1801.6-2326,270.424,-23.4345,6.56945,-0.315222,na,na,0.0
4FGL J1801.8-2358,270.454,-23.9827,6.1068,-0.610649,na,na,0.0
4FGL J1802.4-3041,270.615,-30.6992,0.325648,-4.04212,msp+,msp+,0.0277748149808008
4FGL J1804.4-0852,271.118,-8.8694,19.6193,6.23668,psr+,fsrq+,0.3831072615565227
4FGL J1805.1-3618,271.276,-36.306,355.662,-7.23737,msp+,msp+,0.07071189966395
4FGL J1808.4-3358,272.102,-33.9817,358.046,-6.72543,msp+,Gauss,0.4238130078977948
4FGL J1808.5-3701,272.127,-37.0306,355.343,-8.18095,msp+,Gauss,0.7915336131249786
4FGL J1809.2-2726,272.308,-27.4456,3.89662,-3.75726,msp+,Gauss,0.7630533047691
