,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF
4FGL J0000.3-7355,-11.760649,0.1099986284971237,0.03007555,307.708984375,-42.72953796386719,8.492646217346191,unas,0.41691023601184696,0.41167989181241793,0.06888464996893724,0.10252522220679797
4FGL J0000.5+0743,-11.714305,0.1096604317426681,-0.34923244,101.65647888183594,-53.029457092285156,5.68109655380249,unas,0.49301250950301706,0.29993447395431033,0.0832163748715282,0.12383664167114453
4FGL J0000.7+2530,-12.094175,0.2511221766471863,0.94868994,108.77507019042969,-35.95917510986328,4.197268009185791,unas,0.13204662403843348,0.86211460295303,0.004544659640425804,0.0012941133681107664
4FGL J0001.2+4741,-11.863557,0.0497964136302471,0.009480238,114.25019836425781,-14.338059425354004,5.5238728523254395,bcu,0.26786498441802664,0.6570979117227164,0.02836098219056737,0.04667612166868957
4FGL J0001.2-0747,-11.107484,0.0378988645970821,0.014315605,89.03272247314453,-67.30500793457031,24.49721908569336,bll,0.037642891081667226,0.04361298781393955,0.6590814365715951,0.25966268453279795
4FGL J0001.5+2113,-10.6416855,0.1489015221595764,-1.2628086,107.64935302734375,-40.16765213012695,46.42582702636719,fsrq,0.8390486869504672,0.004231035394686522,0.1491718771525636,0.007548400502282532
4FGL J0001.6+3503,-11.873773,0.324240505695343,-0.06587529,111.53811645507812,-26.71026039123535,6.4750261306762695,unas,0.3603506096843052,0.09744951303501467,0.003614086428429693,0.5385857908522504
4FGL J0001.6-4156,-11.486675,0.1209013909101486,1.188694,334.2263488769531,-72.02854919433594,17.982479095458984,bcu,0.006104967971611265,0.6690056648355462,0.3248796360817586,9.731111083761151e-06
4FGL J0001.8-2153,-12.047351,0.2635909914970398,0.8265331,55.184696197509766,-77.57254028320312,3.936025619506836,bcu,0.1770040862119043,0.8128986607331029,0.003817934948651171,0.00627931810634159
4FGL J0002.1-6728,-11.612266,0.1600688397884369,1.075479,310.0849304199219,-48.96346664428711,16.672523498535156,bll,0.016002175044426224,0.9050661132984765,0.07887118273341644,6.052892368074726e-05
