,log10(Energy_Flux100),LP_beta,log10(LP_EPeak),GLON,GLAT,Signif_Avg,CLASS1,1_PDF,2_PDF,3_PDF,4_PDF,Gauss_PDF
4FGL J0000.3-7355,-11.760649,0.1099986284971237,0.03007555,307.708984375,-42.72953796386719,8.492646217346191,unas,0.1887283482171481,0.6086828505536188,0.031855904258493634,0.1100278645413904,0.060705032429349
4FGL J0000.5+0743,-11.714305,0.1096604317426681,-0.34923244,101.65647888183594,-53.029457092285156,5.68109655380249,unas,0.20516691989227265,0.3949224590799936,0.03417181725953106,0.11836661962970269,0.24737218413850004
4FGL J0000.7+2530,-12.094175,0.2511221766471863,0.94868994,108.77507019042969,-35.95917510986328,4.197268009185791,unas,0.04000479235792324,0.9574674936083093,0.001581025770721327,0.0009466280138362336,6.024920987906373e-08
4FGL J0001.2+4741,-11.863557,0.0497964136302471,0.009480238,114.25019836425781,-14.338059425354004,5.5238728523254395,bcu,0.0981809817407261,0.8309259382513469,0.011232479074571824,0.04200893950922268,0.017651661424132544
4FGL J0001.2-0747,-11.107484,0.0378988645970821,0.014315605,89.03272247314453,-67.30500793457031,24.49721908569336,bll,0.1261384550217914,0.28491531633205197,0.01849743208473288,0.22481293383910764,0.3456358627223161
4FGL J0001.5+2113,-10.6416855,0.1489015221595764,-1.2628086,107.64935302734375,-40.16765213012695,46.42582702636719,fsrq,0.9011815433881695,0.017380001403742757,0.07120620501211267,0.003539945701247827,0.006692304494727298
4FGL J0001.6+3503,-11.873773,0.324240505695343,-0.06587529,111.53811645507812,-26.71026039123535,6.4750261306762695,unas,0.13062181134769763,0.122388803613558,0.001421657041817188,0.48008079655066055,0.26548693144626656
4FGL J0001.6-4156,-11.486675,0.1209013909101486,1.188694,334.2263488769531,-72.02854919433594,17.982479095458984,bcu,0.002550313692389281,0.8981090512535651,0.09933435703052436,6.2770507272583934e-06,9.727939183609677e-10
4FGL J0001.8-2153,-12.047351,0.2635909914970398,0.8265331,55.184696197509766,-77.57254028320312,3.936025619506836,bcu,0.0561208584422062,0.9376463590459249,0.0013794604403174113,0.004852115162746937,1.206908804663724e-06
4FGL J0002.1-6728,-11.612266,0.1600688397884369,1.075479,310.0849304199219,-48.96346664428711,16.672523498535156,bll,0.00577049516870125,0.9688881493952106,0.02529686997889624,4.447539056061922e-05,1.0066631194192242e-08
4FGL J0002.1+6721c,-11.359204,0.244720458984375,-0.26913595,118.2034912109375,4.9394850730896,6.391002655029297,unk,0.07255410857784034,0.0017462903546570955,0.02205968812536832,0.15439904768417184,0.7492408652579624
4FGL J0002.3-0815,-11.851819,0.1124634817242622,0.16706228,89.04344940185547,-67.84832763671875,5.269459247589111,bcu,0.1969809450283784,0.6784007709499716,0.029784511161590237,0.07653483332919327,0.018298939530866507
4FGL J0002.4-5156,-12.1445875,0.3182266354560852,0.864799,319.9994812011719,-63.53901672363281,5.810800552368164,bcu,0.06597448486819645,0.9218207294108175,0.0002610497305309752,0.011943121076600585,6.149138546762456e-07
4FGL J0002.7+7220,-11.474571,0.1047198176383972,-0.19214392,119.20875549316406,9.829275131225586,5.669114589691162,spp,0.20517242951234863,0.2582481644246405,0.062191344966689044,0.16036518915664033,0.3140228719396814
4FGL J0002.8+6217,-10.726508,0.385295033454895,-0.061118126,117.3204116821289,-0.05103611573576927,35.79310607910156,psr,1.4867481968824377e-05,2.2663583160252463e-08,0.0582239305781654,0.3400318436340616,0.6017293356422212
4FGL J0003.1-5248,-11.464392,0.1216496080160141,1.3191848,318.9898986816406,-62.788944244384766,19.605445861816406,bcu,0.0014045928329257519,0.8387917045328184,0.15980260368684804,1.0989047665436237e-06,4.264128264808565e-11
4FGL J0003.1-1543,-11.994628,0.1981576681137085,0.6617527,75.98789978027344,-74.0242691040039,4.7277631759643555,sey,0.08921219186221745,0.8953396355116408,0.007782132548903516,0.007641797687365046,2.4242389873141332e-05
4FGL J0003.2+2207,-11.802303,0.2926516234874725,0.63347816,108.43854522705078,-39.380794525146484,5.552208423614502,bll,0.09185146627954636,0.8244916081160721,0.00120506630172866,0.08222882133636104,0.00022303796629190474
4FGL J0003.3-0703,-12.036341,0.1113098412752151,1.443387,91.09471893310547,-66.91456604003906,4.739246368408203,bcu,0.004571963538065199,0.9878045654157231,0.007623449529317792,2.1516858496205613e-08,3.535405534560952e-14
4FGL J0003.3+2511,-11.743238,0.3331862092018127,-0.056204557,109.38163757324219,-36.41148376464844,8.633872985839844,unas,0.10699092853046482,0.07769450545790951,0.003102875243841405,0.4919332259403974,0.32027846482738687
4FGL J0003.3-1928,-11.512458,0.2105951011180877,-0.112636566,65.19778442382812,-76.58098602294922,16.83622932434082,bcu,0.1507020879715311,0.08889043895409503,0.017917936137329102,0.2663274274758256,0.47616210946121923
4FGL J0003.5+0717,-11.992119,0.2713103592395782,0.26706433,102.59378051757812,-53.67381286621094,5.473021507263184,bcu,0.18252051758690946,0.52600695853841,0.0022649540540011903,0.2750780665835461,0.014129503237133164
4FGL J0003.6+3059,-11.701035,0.6376043558120728,0.27814007,111.00448608398438,-30.77199363708496,14.01501178741455,unas,0.00031237990083255194,3.490703780453882e-07,0.027524357843285534,0.971278884668328,0.0008840285171757832
4FGL J0003.9-1149,-11.60375,0.1539551764726638,0.10076499,84.59542083740234,-71.07510375976562,13.4049711227417,bll,0.19945885458630797,0.47529157321070103,0.04253253788431516,0.18405095817027856,0.09866607614839734
4FGL J0004.0+5715,-11.392638,0.1326620131731033,-0.6785896,116.52632141113281,-5.022866249084473,9.073501586914062,unas,0.6918337146605339,0.010252128200522216,0.05608387406801069,0.034414638188037944,0.20741564488289524
4FGL J0004.0+0840,-11.954166,0.3033129572868347,0.6024239,103.49597930908203,-52.39784622192383,6.878326892852783,bll,0.10841952365673285,0.8005555890171903,0.0006323898840509139,0.09019974987573327,0.0001927475662927249
4FGL J0004.3+4614,-11.272346,0.0990329086780548,-1.3882917,114.48896789550781,-15.85490894317627,11.245722770690918,fsrq,0.9746620348244993,0.005091803909455021,0.020199832446457032,2.138066404147003e-05,2.4948155547089595e-05
4FGL J0004.4-4737,-11.280494,0.0792935788631439,-1.0428461,323.9859924316406,-67.53782653808594,23.33867835998535,fsrq,0.9466634419523171,0.015878127526259972,0.03157153898672762,0.0016913733537603057,0.004195518180935
4FGL J0004.4-4001,-11.601874,0.0453739427030086,-0.8218305,336.9914855957031,-73.8453369140625,11.000524520874023,unas,0.14391791544156998,0.7852910585325865,0.02714256069660316,0.017021521595180764,0.026626943734059483
4FGL J0005.5+6634,-11.311577,0.4041112959384918,-0.44973612,118.38855743408203,4.110415935516357,4.591827869415283,unas,0.022140264077801675,1.5589192398548983e-05,0.05689908772544141,0.07623542871746465,0.8447096302868937
4FGL J0005.6+6746c,-11.378161,0.3197299838066101,-0.44603515,118.60843658447266,5.2821269035339355,4.460116863250732,unas,0.05396516406290972,0.00042772434584067087,0.026062417146368987,0.08353111029470314,0.8360135841501773
4FGL J0005.9+3824,-11.218785,0.1645498126745224,-1.0160067,113.2322769165039,-23.613338470458984,16.086971282958984,fsrq,0.9494218898761462,0.0005869510618728374,0.016996943837267593,0.0031376628738830066,0.029856552350830262
4FGL J0006.3-1813,-11.975337,0.0381194576621055,-1.2524766,71.15022277832031,-76.31927490234375,4.287750244140625,unas,0.11272207559210416,0.8681716577736953,0.01862128671131,0.00035228953879504107,0.00013269038409562407
4FGL J0006.3-0620,-11.865531,0.1492447704076767,0.09479451,93.64701843261719,-66.62518310546875,5.414082050323486,bll,0.2871099848945575,0.43547500753492735,0.03462698371626469,0.18159391200725425,0.06119411184699606
4FGL J0006.4+0135,-11.918308,0.2507266998291015,0.4243698,100.47744750976562,-59.297489166259766,7.125672817230225,bll,0.14407543901226685,0.7429501280917101,0.0035244918739406493,0.10726461301927061,0.002185328002811662
4FGL J0006.4-5621,-11.785978,0.05335333943367,-1.4323244,315.2886047363281,-59.67219543457031,7.211533069610596,bll,0.41415064888294595,0.5655308820704902,0.020282215291502165,2.810288273574077e-05,8.150872326021847e-06
4FGL J0006.6+4618,-12.079822,0.3888331651687622,0.886775,114.92034912109375,-15.869718551635742,6.020187854766846,unas,0.09698114256960576,0.8127180395835242,2.0555792109105554e-05,0.09027887343118972,1.3886235711433783e-06
4FGL J0007.4-0322,-12.154098,0.5159489512443542,0.97347426,97.16127014160156,-64.02510833740234,5.483517646789551,unas,0.05705265916977784,0.08701077066683167,5.44997847474999e-07,0.8559358133052388,2.1186030427080002e-07
4FGL J0007.5-5247,-11.932121,0.4040833115577698,-0.29121828,317.653076171875,-63.069732666015625,5.705449104309082,bcu,0.07561038450533691,0.027368701336945793,0.005068279240948382,0.36882508576556283,0.523127549151206
4FGL J0007.7+4008,-11.347249,0.0821471661329269,0.21392035,113.93701171875,-21.972776412963867,16.36504364013672,bcu,0.17762357102721926,0.3209054054540801,0.2843662342820005,0.14321792874648637,0.07388686049021381
4FGL J0008.0+4711,-10.741665,0.0896416902542114,0.4023831,115.31625366210938,-15.03355884552002,56.519039154052734,bll,0.006017913719683458,0.7431116749064839,0.1385554065846185,0.08581928728263293,0.026495717506581237
